Time [s]	Drucki Ch.  1(Target)[mbar]	Drucki Ch.  1(Read)[mbar]	Drucki Ch.  2(Target)[mbar]	Drucki Ch.  2(Read)[mbar]	Drucki Ch.  3(Target)[mbar]	Drucki Ch.  3(Read)[mbar]	Drucki Ch.  4(Target)[mbar]	Drucki Ch.  4(Read)[mbar]	
3780.2730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	3.0457	
3780.3730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3780.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3780.5730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3780.6730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3780.7730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3780.8730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3780.9730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3781.0730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.1730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3781.2730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.3730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3781.4730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.5730	0.0000	1.4407	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.6730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.7730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3781.8730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	3.0457	
3781.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3782.0730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3782.1730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3782.2730	0.0000	1.4171	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3782.3730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3782.4730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2106	0.0000	2.9720	
3782.5730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3782.6730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3782.7730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3782.8730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3782.9730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3783.0730	0.0000	1.4250	146.0000	146.0828	0.0000	0.4177	0.0000	2.8982	
3783.1730	0.0000	1.4250	146.0000	146.1450	0.0000	0.3487	0.0000	2.9720	
3783.2730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3783.3730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3783.4730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3783.5730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3783.6730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3783.7730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.8982	
3783.8730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3783.9730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
