t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
0.232225	0.23243	0.232595	0.00982162145817403	0.000370000000000009	0.00120999999999999	2.55121107415902e-06	129	0	134
0.233805	0.23405	0.234195	0.010004726926924	0.000390000000000001	0.00170500000000001	2.80165961660374e-06	130	0	135
0.2359	0.23655	0.2367	0.011591640989424	0.000799999999999995	0.00173000000000001	6.27463037148635e-06	131	0	136
0.23843	0.238665	0.23881	0.00942489294254903	0.000379999999999991	0.00129499999999999	2.59022318717826e-06	132	0	137
0.240105	0.24031	0.24045	0.00985213903629903	0.000345000000000012	0.001415	2.36670569395467e-06	133	0	138
0.241865	0.2421	0.24222	0.00933334020817403	0.000354999999999994	0.00151000000000001	2.40114017025516e-06	134	0	139
0.24373	0.243935	0.24409	0.00933334020817403	0.000359999999999999	0.00132499999999999	2.45970872676478e-06	135	0	140
0.245415	0.245655	0.24582	0.00997420934879903	0.000405000000000016	0.000889999999999974	2.87955644824198e-06	136	0	141
0.24671	0.246905	0.247065	0.00954696325504903	0.000355000000000022	0.00192999999999999	2.42433352963016e-06	137	0	142
0.248995	0.249615	0.249765	0.011530605833174	0.000769999999999993	0.00190499999999999	6.01065189375676e-06	138	0	143
0.25167	0.2519	0.252035	0.00942489294254903	0.000365000000000004	0.00127499999999997	2.47417938288377e-06	139	0	144
0.25331	0.253505	0.253675	0.00985213903629903	0.000365000000000004	0.00129000000000001	2.66857635554002e-06	140	0	145
0.254965	0.255175	0.25529	0.00872298864567403	0.00032500000000002	0.000454999999999983	2.05293317690056e-06	141	0	146
0.255745	0.255945	0.256075	0.00927230505192403	0.000329999999999997	0.00114999999999998	2.14995388184768e-06	142	0	147
0.257225	0.257465	0.25758	0.00951644567692403	0.000354999999999994	0.00199500000000002	2.45363040463016e-06	143	0	148
0.259575	0.259765	0.25993	0.00939437536442403	0.000354999999999994	0.00118499999999999	2.42173953548953e-06	144	0	149
0.261115	0.261305	0.261455	0.00954696325504903	0.000340000000000007	0.00138500000000003	2.28860588744504e-06	145	0	150
0.26284	0.26307	0.263215	0.00954696325504903	0.000374999999999959	0.00146500000000005	2.54126766777801e-06	146	0	151
0.26468	0.26488	0.26504	0.00945541052067403	0.000359999999999971	0.00144499999999997	2.45940355098353e-06	147	0	152
0.266485	0.266725	0.266865	0.00957748083317403	0.000380000000000047	0.000950000000000006	2.60410868522513e-06	148	0	153
0.267815	0.267985	0.268095	0.00853988317692403	0.000279999999999947	0.00137000000000004	1.7279951233921e-06	149	0	154
0.269465	0.27008	0.27024	0.011103359739424	0.00077499999999997	0.00190500000000005	5.97064867292263e-06	150	0	155
0.272145	0.27234	0.27251	0.00960799841129903	0.000364999999999949	0.001085	2.46288787897752e-06	151	0	156
0.273595	0.273795	0.27393	0.00966903356754903	0.00033500000000003	0.00226500000000002	2.25017893249792e-06	152	0	157
0.276195	0.276425	0.27657	0.00957748083317403	0.000374999999999959	0.000640000000000029	2.54142025566864e-06	153	0	158
0.27721	0.277435	0.277565	0.00985213903629903	0.000354999999999994	0.00136500000000001	2.45485110775516e-06	154	0	159
